,Phrase,Review,Count
170,16th century japan,PlayStation LifeStyle,1
171,16th century japan,Push Square,1
172,16th century japan,Rock Paper Shotgun,1
173,16th century japan,Siliconera,1
174,16th century japan,TheEscapist,1
175,16th century japan,Twinfinite,1
176,16th century japan,wccftech,1
177,16th century japan,Worthplaying PC,1
178,massive open world,ButWhyTho,1
179,massive open world,Dexerto,1
180,massive open world,Gamereactor,1
181,massive open world,Inverse,1
182,massive open world,Kotaku,1
183,massive open world,PlayStation Universe,1
184,massive open world,slant,1
185,massive open world,Stevivor,1
186,massive open world,TrueAchievments,1
187,open world rpg,ButWhyTho,5
188,open world rpg,COG,1
189,open world rpg,DualShockers,1
190,open world rpg,Finger Guns,2
191,open world rpg,Game Informer,1
192,open world rpg,GameRant,1
193,open world rpg,GamingBible,2
194,open world rpg,Impulse Gamer,2
195,open world rpg,Kotaku,2
196,open world rpg,PlayStation Universe,1
197,open world rpg,Polygon,1
198,open world rpg,Push Square,2
199,open world rpg,Stevivor,3
200,open world rpg,TechRadar,1
201,open world rpg,wccftech,1
202,since assassin creed,ButWhyTho,1
203,since assassin creed,CNET,1
204,since assassin creed,ComicBook,1
205,since assassin creed,DigitalSpy,1
206,since assassin creed,GamesRadar,2
207,since assassin creed,HardcoreGamer,1
208,since assassin creed,Hey Poor Player,1
209,since assassin creed,PlayStation Universe,1
210,since assassin creed,Polygon,1
211,since assassin creed,TrueAchievments,1
212,assassin creed valhalla,ButWhyTho,1
213,assassin creed valhalla,CNET,1
214,assassin creed valhalla,Digital Trends,1
215,assassin creed valhalla,Game Informer,1
216,assassin creed valhalla,Gamecritics,1
217,assassin creed valhalla,GameRant,2
218,assassin creed valhalla,Gamereactor,1
219,assassin creed valhalla,GamesRadar,1
220,assassin creed valhalla,GamingBible,1
221,assassin creed valhalla,GamingBolt,1
222,assassin creed valhalla,GamingTrend,1
223,assassin creed valhalla,IGN,1
224,assassin creed valhalla,Inverse,1
225,assassin creed valhalla,Push Square,2
226,assassin creed valhalla,Siliconera,1
227,assassin creed valhalla,TechRadar,1
228,assassin creed valhalla,TrueAchievments,2
229,assassin creed valhalla,VGC,1
230,assassin creed valhalla,wccftech,3
231,assassin creed valhalla,wgtc,1
232,assassin creed valhalla,Windows Central,2
233,new assassin creed,ButWhyTho,1
234,new assassin creed,Checkpoint,1
235,new assassin creed,digitalchumps,1
236,new assassin creed,Finger Guns,1
237,new assassin creed,gamepressure,1
238,new assassin creed,Gamers Heroes,1
239,new assassin creed,Hooked Gamers,1
240,new assassin creed,Inverse,1
241,new assassin creed,Kotaku,2
242,new assassin creed,PCGamesN,1
243,new assassin creed,ScreenRant,1
244,creed shadow split,ButWhyTho,1
245,creed shadow split,GamesRadar,1
246,long time fan,ButWhyTho,1
247,long time fan,Finger Guns,1
248,long time fan,GameGrin,1
249,long time fan,GameSpot,1
250,long time fan,Impulse Gamer,1
251,long time fan,TechRadar,1
252,franchise assassin creed,ButWhyTho,3
253,franchise assassin creed,CNET,1
254,franchise assassin creed,Game8,1
255,franchise assassin creed,GameRant,1
256,franchise assassin creed,Gamers Heroes,1
257,franchise assassin creed,GamingBolt,1
258,franchise assassin creed,The Verge,1
259,assassin creed syndicate,ButWhyTho,1
260,assassin creed syndicate,DigitalSpy,1
261,assassin creed syndicate,GameRant,1
262,assassin creed syndicate,GamesHub,1
263,assassin creed syndicate,GamingBolt,3
264,assassin creed syndicate,HardcoreGamer,1
265,assassin creed syndicate,Inverse,1
266,assassin creed syndicate,New Game Network,1
267,assassin creed syndicate,Player2,1
268,assassin creed syndicate,PlayStation Universe,1
269,assassin creed syndicate,Push Square,1
270,assassin creed syndicate,RPG Site,1
271,assassin creed syndicate,TechRadar,1
272,assassin creed syndicate,The Verge,1
273,assassin creed syndicate,TrueAchievments,1
274,assassin creed mirage,ButWhyTho,1
275,assassin creed mirage,CGMagazine,1
276,assassin creed mirage,Checkpoint,1
277,assassin creed mirage,Creative Bloq,1
278,assassin creed mirage,Eurogamer,1
279,assassin creed mirage,Gamereactor,1
280,assassin creed mirage,GameSpew,1
281,assassin creed mirage,IGN,2
282,assassin creed mirage,Inverse,1
283,assassin creed mirage,Loot Level Chill,1
284,assassin creed mirage,New Game Network,1
285,assassin creed mirage,Push Square,1
286,assassin creed mirage,Siliconera,1
287,assassin creed mirage,Softpedia,1
288,assassin creed mirage,The Verge,1
289,assassin creed mirage,wccftech,1
290,assassin creed mirage,Well Played,1
291,assassin creed mirage,Windows Central,1
292,world rpg formula,ButWhyTho,1
293,world rpg formula,GamingBible,1
294,world rpg formula,Stevivor,1
295,world rpg formula,wccftech,1
296,creed shadow buckle,ButWhyTho,1
297,creed shadow buckle,GamingBolt,1
298,dual protagonist help,ButWhyTho,1
299,dual protagonist help,The Guardian,1
300,open world gameplay,ButWhyTho,1
301,open world gameplay,GameRant,2
302,open world gameplay,wccftech,1
303,exploration assassin creed,ButWhyTho,1
304,exploration assassin creed,gamepressure,1
305,creed shadow continue,ButWhyTho,1
306,creed shadow continue,GameRant,1
307,come assassin creed,ButWhyTho,1
308,come assassin creed,Siliconera,1
309,come assassin creed,TheGamer,1
310,assassin creed game,ButWhyTho,6
311,assassin creed game,CGMagazine,3
312,assassin creed game,ComicBook,1
313,assassin creed game,Creative Bloq,1
314,assassin creed game,Dexerto,2
315,assassin creed game,Digital Trends,4
316,assassin creed game,digitalchumps,5
317,assassin creed game,DigitalSpy,1
318,assassin creed game,Game Informer,3
319,assassin creed game,Game8,3
320,assassin creed game,gamepressure,2
321,assassin creed game,GameRant,8
322,assassin creed game,Gamereactor,4
323,assassin creed game,Gamers Heroes,1
324,assassin creed game,GamesHub,1
325,assassin creed game,GameSpew,3
326,assassin creed game,GameSpot,4
327,assassin creed game,GamingBible,7
328,assassin creed game,GamingBolt,7
329,assassin creed game,GamingTrend,5
330,assassin creed game,HardcoreGamer,6
331,assassin creed game,Hey Poor Player,1
332,assassin creed game,Impulse Gamer,1
333,assassin creed game,irish_independent,1
334,assassin creed game,Kotaku,6
335,assassin creed game,nme,3
336,assassin creed game,PCGamesN,2
337,assassin creed game,PlayStation Universe,6
338,assassin creed game,Polygon,4
339,assassin creed game,Push Square,2
340,assassin creed game,RPG Site,2
341,assassin creed game,RPGFan,2
342,assassin creed game,ScreenRant,1
343,assassin creed game,Shacknews,1
344,assassin creed game,Siliconera,2
345,assassin creed game,Softpedia,2
346,assassin creed game,Stevivor,2
347,assassin creed game,TechRadar,3
348,assassin creed game,The Verge,1
349,assassin creed game,TheEscapist,3
350,assassin creed game,TheSixthAxis,1
351,assassin creed game,TheXboxHub,1
352,assassin creed game,TrueAchievments,2
353,assassin creed game,Twinfinite,3
354,assassin creed game,VG247,2
355,assassin creed game,VGC,3
356,assassin creed game,wccftech,1
357,assassin creed game,wgtc,3
358,assassin creed game,Windows Central,4
359,assassin creed game,Xbox Tavern,2
360,assassin creed game,XboxAchievements,1
361,assassin creed game,ZTGD,2
362,assassin creed story,ButWhyTho,1
363,assassin creed story,ComicBook,1
364,assassin creed story,DigitalSpy,1
365,assassin creed story,Game8,1
366,assassin creed story,PlayStation Universe,1
367,assassin creed story,XboxAchievements,1
368,creed shadow begin,ButWhyTho,1
369,creed shadow begin,Order of the Template,1
370,creed shadow begin,TheXboxHub,1
